Date,Wind_mph,Temp_F,Cloud_Cover,Start_Time,End_Time,Visit_Number,Species,Count,Ecosystem
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,NA,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,NA,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Common Raven,NA,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Horned Lark,1,Desert grassland
1/23/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert grassland
1/24/91,NA,NA,NA,NA,NA,1,Black-throated Sparrow,1,Desert shrubland
1/24/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert shrubland
1/24/91,NA,NA,NA,NA,NA,1,Common Raven,1,Desert shrubland
1/24/91,NA,NA,NA,NA,NA,1,Western Meadowlark,1,Desert shrubland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,American Robin,1,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Common Raven,NA,Pinyon woodland
1/25/91,NA,NA,NA,NA,NA,1,Dark-eyed Junco,1,Pinyon woodland
